Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw,sofifa_id,player_url,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club,player_positions,preferred_foot,team_position,team_jersey_number
1.0,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,group stage,Group 1,1.0,0.0,0.0,0.0,7/13/1930,15:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,France,FRA,T-44,Mexico,MEX,41,4.0,1.0,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,158023,https://sofifa.com/player/158023/lionel-messi/20/159586,L. Messi,Lionel Andrés Messi Cuccittini,32,1987-06-24,170,72,Argentina,FC Barcelona,"RW, CF, ST",Left,RW,10.0
2.0,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,group stage,Group 4,1.0,0.0,0.0,0.0,7/13/1930,15:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-06,Belgium,BEL,30,3.0,0.0,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,1985-02-05,187,83,Portugal,Juventus,"ST, LW",Right,LW,7.0
3.0,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,group stage,Group 2,1.0,0.0,0.0,0.0,7/14/1930,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-09,Brazil,BRA,21,2.0,1.0,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/20/159586,Neymar Jr,Neymar da Silva Santos Junior,27,1992-02-05,175,68,Brazil,Paris Saint-Germain,"LW, CAM",Right,CAM,10.0
4.0,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,group stage,Group 3,1.0,0.0,0.0,0.0,7/14/1930,14:50,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,Romania,ROU,T-54,Peru,PER,31,3.0,1.0,2.0,-2.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,200389,https://sofifa.com/player/200389/jan-oblak/20/159586,J. Oblak,Jan Oblak,26,1993-01-07,188,87,Slovenia,Atlético Madrid,GK,Right,GK,13.0
5.0,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,group stage,Group 1,1.0,0.0,0.0,0.0,7/15/1930,16:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-28,France,FRA,10,1.0,0.0,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,183277,https://sofifa.com/player/183277/eden-hazard/20/159586,E. Hazard,Eden Hazard,28,1991-01-07,175,74,Belgium,Real Madrid,"LW, CF",Right,LW,7.0
6.0,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,group stage,Group 1,1.0,0.0,0.0,0.0,7/16/1930,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,30,3.0,0.0,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,192985,https://sofifa.com/player/192985/kevin-de-bruyne/20/159586,K. De Bruyne,Kevin De Bruyne,28,1991-06-28,181,70,Belgium,Manchester City,"CAM, CM",Right,RCM,17.0
7.0,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,group stage,Group 2,1.0,0.0,0.0,0.0,7/17/1930,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-07,Bolivia,BOL,40,4.0,0.0,4.0,-4.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586,M. ter Stegen,Marc-André ter Stegen,27,1992-04-30,187,85,Germany,FC Barcelona,GK,Right,GK,1.0
8.0,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,group stage,Group 4,1.0,0.0,0.0,0.0,7/17/1930,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-53,Paraguay,PRY,30,3.0,0.0,3.0,-3.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,203376,https://sofifa.com/player/203376/virgil-van-dijk/20/159586,V. van Dijk,Virgil van Dijk,27,1991-07-08,193,92,Netherlands,Liverpool,CB,Right,LCB,4.0
9.0,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,group stage,Group 3,1.0,0.0,0.0,0.0,7/18/1930,14:30,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-54,Peru,PER,10,1.0,0.0,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,177003,https://sofifa.com/player/177003/luka-modric/20/159586,L. Modrić,Luka Modrić,33,1985-09-09,172,66,Croatia,Real Madrid,CM,Right,RCM,10.0
10.0,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,group stage,Group 1,1.0,0.0,0.0,0.0,7/19/1930,12:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,10,1.0,0.0,1.0,-1.0,0.0,0.0,0-0,0.0,0.0,home team win,1.0,0.0,0.0,209331,https://sofifa.com/player/209331/mohamed-salah/20/159586,M. Salah,Mohamed  Salah Ghaly,27,1992-06-15,175,71,Egypt,Liverpool,"RW, ST",Left,RW,11.0
